SM-T710NZKEXAR;galaxytabS28;Samsung Galaxy Tab S2 8.0'' 32GB (Wi-Fi), Black;Bring your entertainment to life on the adaptive Super AMOLED display. Expand your memory from 32GB* to up to an additional 128GB with a microSD card. Seamlessly share files between Samsung devices with SideSync.;Galaxy;Tablets;0;0;395;400;2;12
SM-T357TZAATMB;galaxytabA8;Samsung Galaxy Tab A 8.0'' 16GB (T-Mobile), Smoky Titanium;Share content effortlessly with most Samsung devices with SideSync 3.0. Easily open two apps side by side with Multi Window.;Galaxy;Tablets;0;1;350;355;0;0
SM-P550NZAAXAR;galaxytabApen;Samsung Galaxy Tab A 9.7'' 16GB (Wi-Fi) with S Pen, Smoky Titanium;Share content effortlessly with most Samsung devices with SideSync 3.0.Easily open two apps side by side with Multi Window;Galaxy;Tablets;0;0;345;350;35;45
SM-T550NZAAXAR;galaxytabA;Samsung Galaxy Tab A 9.7'' 16GB (Wi-Fi), Smoky Titanium;Share content effortlessly with Samsung SideSync. Open two apps side by side with Multi Window.;Galaxy;Tablets;0;0;295;300;4;14
SM-T567VZKAVZW;galaxytabE;Samsung Galaxy Tab E 9.6'' 16GB (Verizon), Black;Play all day with the long-lasting 7,300mAh battery. Store more entertainment with an expandable microSD card. Enjoy advanced camera features like Panorama and Continuous shot.;Galaxy;Tablets;0;0;300;250;4;14
SM-R321NZWAXAR;gearVRS6;Gear VR Innovator Edition for S6;Samsung Gear VR Innovator Edition for S6 is powered by the Samsung Galaxy S6 or Galaxy S6 edge and is not compatible with other smartphones or devices. Some high-quality gaming apps may require the use of an Android game controller, sold separately, to offer control capabilities in addition to the Gear VR's integrated touchpad and tracking sensors.;Gear;Wearables;0;0;95;100;5;55
SM-R320NPWSXAR;gearVRnote4;Samsung Gear VR Innovator Edition for Note 4;Samsung Gear VR Innovator Edition is powered by the Samsung Galaxy Note 4 and is not compatible with other smartphones or devices. Some high-quality gaming apps may require the use of an Android game controller, sold separately, to offer control capabilities in addition to the Gear VR's integrated touchpad and tracking sensors.;Gear;Wearables;0;0;195;200;5;25
SM-R7200ZWAXAR;gearS2;Samsung Gear S2, Silver;Finally, a smartwatch thats designed for the speed of your life. With elegant curves and premium finishes, the Samsung Gear S2 will turn heads. The intuitive circular face and bezel let you navigate effortlessly to get to what you need. And with access to important notifications at a glance, you can get more out of every moment of your day with the Samsung Gear S2.;Gear;Wearables;0;0;295;300;3;10
SM-R7320ZKAXAR;gearS2classic;Samsung Gear S2 classic, Black;inally, a smartwatch thats designed for the speed of your life. With elegant curves and premium finishes, the Samsung Gear S2 classic will turn heads. The intuitive circular face and bezel let you navigate effortlessly to get to what you need. And with access to important notifications at a glance, you can get more out of every moment of your day with the Samsung Gear S2.;Gear;Wearables;0;0;345;350;8;20
SM-R750AZKAATT;blackgearS;Samsung Gear S (AT&T), Charcoal Black;Introducing Samsungs first network-connected wearable. So now you can make and answer calls when your phone isn't nearby. You can also check texts, emails, updates' even stream and listen to music, right from your wrist.;Gear;Wearables;0;0;95;100;9;19
SM-R3800MOAXAR;gear2wildorange;Samsung Gear 2 Wild Orange;"Gear 2 features an elegantly contoured, brushed metal-finished face that accents a bright 1.63"" Super AMOLED display. You have the ability to change band colors or use any band you want to mix and match and create your perfect look.";Gear;Wearables;0;0;145;150;8;18
SM-R3810ZOAXAR;gear2neowildorange;Samsung Gear 2 Neo Wild Orange;"Gear 2 features an elegantly contoured, brushed metal-finished face that accents a bright 1.63"" Super AMOLED display. You have the ability to change band colors or use any band you want to mix and match and create your perfect look.";Gear;Wearables;0;0;145;150;7;20
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
